ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J095218.67+082324.5,20.04,0.04,17.95,0.04,17.15,0.01,16.03,0.01,15.32,0.01,14.7,0.01,14.26,0.03,13.97,0.04,L1.5   ,5.19,L1:    ,6,Simbad,148.07779,8.39014
J095226.04-012805.1,21.32,0.19,19.44,0.13,18.53,0.05,17.44,0.03,16.82,0.04,16.26,0.03,15.88,0.05,15.66,0.12,L0.5   ,1.01,       ,  ,Simbad,148.1085,-1.46808
J095241.84+042248.4,21.45,0.11,19.47,0.09,18.58,0.04,17.35,0.02,16.6,0.03,15.9,0.03,15.54,0.05,15.23,0.1,L2.5   ,1.45,       ,  ,Simbad,148.17433,4.38011
J095324.44+052658.7,19.86,0.05,17.69,0.03,16.89,0.01,15.73,0.01,15.05,0.01,14.47,0.01,     ,     ,     ,     ,L1.5:  ,3.15,M9.5:  ,6,Simbad,148.35183,5.44964
J095401.54+035124.1,20.61,0.05,18.67,0.05,17.73,0.02,16.61,0.01,15.83,0.01,15.19,0.01,14.8,0.03,14.59,0.06,L2     ,2.86,       ,  ,Simbad,148.50642,3.85669
J095429.93+062310.1,23.73,0.64,19.46,0.1,17.87,0.02,16.59,0.01,16.89,0.02,17.17,0.07,16.47,0.08,14.62,0.06,T5.5   ,8.17,T5.5   ,6,Simbad,148.62471,6.38614
J095453.23+031644.7,20.68,0.07,18.65,0.05,17.81,0.03,16.78,0.02,16.01,0.02,15.5,0.01,15.24,0.04,15.16,0.09,L0.5   ,8.14,L1:    ,6,Simbad,148.72179,3.27908
J095844.29+103728.3,20.85,0.07,18.77,0.07,17.87,0.03,16.89,0.02,16.33,0.02,15.81,0.02,15.47,0.04,15.07,0.08,L0     ,6.56,       ,  ,Simbad,149.68454,10.62453
J095859.27-012126.7,20.51,0.07,18.51,0.05,17.73,0.02,16.76,0.02,16.13,0.02,15.62,0.02,15.05,0.04,14.7,0.06,L0.5p  ,27.34,       ,  ,Simbad,149.74696,-1.35742
J095926.78+005622.6,21.18,0.16,19.32,0.11,18.26,0.03,17.21,0.02,16.5,0.02,16.03,0.03,15.63,0.05,15.37,0.1,L0.5   ,4.28,       ,  ,Simbad,149.86158,0.93961
